    62,   19921127220900.,    4.41,   60.02,   29.12,  0.00436,  0.00005,    0.00,    0.30,    0.29,    1.55,    1.91,    0.64
    63,   19921127230000.,    6.34,   60.48,   29.43,  0.00368,  0.00005,    0.00,    0.27,    0.56,    1.53,    1.99,    0.68
    64,   19921127235200.,    6.83,   59.76,   29.77,  0.00264,  0.00005,    0.00,    0.28,    0.89,    1.50,    2.06,    0.69
    65,   19921128004300.,    8.09,   65.42,   30.11,  0.00271,  0.00006,    0.00,    0.30,    1.26,    1.45,    2.02,    0.72
    66,   19921128022100.,   10.66,   84.89,   30.68,  0.00437,  0.00008,    0.00,    0.36,    1.87,    1.46,    1.82,    0.79
    67,   19921128042600.,    7.07,   74.64,   30.73,  0.00303,  0.00006,    0.00,    0.37,    1.83,    1.82,    1.89,    0.72
    68,   19921128043600.,    6.85,   81.79,   30.89,  0.00341,  0.00007,    0.00,    0.41,    1.83,    1.83,    1.82,    0.72
    69,   19921128052800.,    3.78,   59.25,   30.51,  0.00163,  0.00004,    0.00,    0.39,    1.67,    2.00,    1.98,    0.62
    70,   19921128061900.,    3.58,   54.04,   30.57,  0.00112,  0.00004,    0.00,    0.40,    1.53,    2.12,    1.99,    0.61
    71,   19921128075200.,    3.65,   60.68,   30.07,  0.00283,  0.00004,    0.00,    0.40,    1.20,    2.43,    1.90,    0.62
    72,   19921128084300.,    2.95,   53.52,   29.94,  0.00214,  0.00004,    0.00,    0.38,    1.02,    2.66,    1.97,    0.59
    73,   19921128093500.,    5.87,   87.47,   29.79,  0.00979,  0.00007,    0.00,    0.39,    0.88,    2.87,    1.51,    0.71
    74,   19921128102600.,    3.57,   72.03,   29.62,  0.00523,  0.00005,    0.00,    0.38,    0.65,    3.55,    1.76,    0.64
    75,   19921128111800.,    1.69,   49.09,   29.40,  0.00205,  0.00003,    0.00,    0.36,    0.52,    4.03,    2.01,    0.54
    76,   19921128120900.,    6.10,   76.77,   29.39,  0.01102,  0.00006,    0.00,    0.36,    0.45,    4.33,    1.48,    0.70
    77,   19921128130100.,    5.70,   70.69,   29.50,  0.00735,  0.00006,    0.00,    0.38,    0.32,    5.32,    1.63,    0.69
    78,   19921128135200.,    3.14,   55.69,   29.18,  0.00425,  0.00004,    0.00,    0.38,    0.00,   19.00,    1.83,    0.60
    79,   19921128144400.,    2.05,   48.12,   28.93,  0.00336,  0.00003,    0.00,    0.36,    0.00,   19.00,    1.92,    0.55
    80,   19921128153500.,    2.35,   59.24,   28.89,  0.00550,  0.00004,    0.00,    0.37,    0.00,   19.00,    1.76,    0.58
    81,   19921128162600.,    3.00,   66.79,   28.89,  0.00708,  0.00005,    0.00,    0.37,    0.00,   19.00,    1.67,    0.62
    82,   19921128171800.,    2.81,   64.23,   28.83,  0.00757,  0.00004,    0.00,    0.36,    0.00,   19.00,    1.65,    0.61
    83,   19921128180900.,    2.28,   55.69,   28.78,  0.00546,  0.00004,    0.00,    0.35,    0.00,   19.00,    1.78,    0.57
    84,   19921128190100.,    2.77,   66.20,   28.82,  0.00758,  0.00004,    0.00,    0.36,    0.00,   19.00,    1.65,    0.61
    85,   19921128195200.,    2.28,   62.67,   28.82,  0.00697,  0.00004,    0.00,    0.35,    0.00,   19.00,    1.69,    0.59
    86,   19921128204400.,    1.91,   54.80,   28.83,  0.00414,  0.00004,    0.00,    0.34,    0.00,   19.00,    1.89,    0.56
    87,   19921128213500.,    3.20,   65.34,   29.11,  0.00561,  0.00005,    0.00,    0.29,    0.00,   19.00,    1.82,    0.62
    88,   19921128222600.,    6.80,   52.91,   29.50,  0.00296,  0.00005,    0.00,    0.26,    0.24,    0.98,    2.07,    0.68
    89,   19921128231800.,    7.38,   54.84,   29.84,  0.00265,  0.00005,    0.00,    0.25,    0.57,    0.98,    2.10,    0.70
    90,   19921129000900.,    7.99,   51.87,   30.35,  0.00101,  0.00005,    0.00,    0.26,    1.03,    0.96,    2.22,    0.70
    91,   19921129010100.,   12.45,  104.20,   30.40,  0.01041,  0.00009,    0.00,    0.34,    1.25,    1.01,    1.50,    0.84
    92,   19921129015200.,   10.88,   99.17,   30.07,  0.00964,  0.00009,    0.00,    0.34,    1.01,    1.59,    1.54,    0.81
    93,   19921129024400.,    5.89,   72.38,   29.94,  0.00494,  0.00006,    0.00,    0.30,    0.83,    2.14,    1.85,    0.69
    94,   19921129033500.,    5.55,   84.89,   29.98,  0.00688,  0.00006,    0.00,    0.34,    0.95,    2.24,    1.69,    0.70
    95,   19921129042600.,    3.76,   87.78,   29.80,  0.00838,  0.00006,    0.00,    0.35,    0.93,    2.53,    1.60,    0.67
    96,   19921129051800.,    2.83,   75.25,   29.66,  0.00660,  0.00005,    0.00,    0.33,    0.76,    3.03,    1.72,    0.63
    97,   19921129060900.,    4.88,   62.19,   29.64,  0.00441,  0.00005,    0.00,    0.30,    0.62,    3.50,    1.90,    0.65
    98,   19921129070100.,   17.63,  117.78,   29.44,  0.01967,  0.00012,   29.96,    0.33,    0.52,    3.90,    1.21,    0.92
    99,   19921129075200.,   17.09,   92.70,   29.39,  0.00766,  0.00010,   34.36,    0.38,    0.31,    5.49,    1.60,    0.89
   100,   19921129091700.,    7.02,   80.74,   29.07,  0.00754,  0.00007,    0.00,    0.40,    0.16,    7.58,    1.61,    0.73
   101,   19921129100800.,    4.66,   93.09,   29.06,  0.01707,  0.00007,    0.00,    0.34,    0.11,    9.06,    1.28,    0.70
   102,   19921129110000.,    2.99,   77.06,   28.93,  0.01345,  0.00005,    0.00,    0.33,    0.06,   12.22,    1.40,    0.64
   103,   19921129115500.,    2.36,   64.88,   28.90,  0.00863,  0.00004,    0.00,    0.34,    0.03,   16.50,    1.61,    0.60
   104,   19921129124700.,    2.62,   65.99,   28.84,  0.00927,  0.00004,    0.00,    0.34,    0.01,   19.00,    1.57,    0.61
   105,   19921129133800.,    3.48,   62.35,   29.03,  0.00659,  0.00004,    0.00,    0.37,    0.00,   19.00,    1.69,    0.62
   106,   19921129142900.,    3.47,   62.30,   29.03,  0.00658,  0.00004,    0.00,    0.37,    0.00,   19.00,    1.69,    0.62
   107,   19921129153100.,    4.85,   72.95,   29.25,  0.00840,  0.00005,    0.00,    0.38,    0.00,   19.00,    1.59,    0.67
   108,   19921129163800.,    5.43,   86.82,   29.21,  0.01241,  0.00006,    0.00,    0.36,    0.00,   19.00,    1.42,    0.70
   109,   19921129173000.,    6.19,   91.29,   29.15,  0.01559,  0.00007,    0.00,    0.34,    0.00,   19.00,    1.33,    0.73
   110,   19921129182100.,    4.84,   85.68,   29.08,  0.01306,  0.00006,    0.00,    0.34,    0.00,   19.00,    1.41,    0.69
   111,   19921129191300.,    4.60,   81.54,   29.08,  0.01158,  0.00006,    0.00,    0.34,    0.00,   19.00,    1.47,    0.68
   112,   19921129200400.,    5.83,   86.28,   29.03,  0.01393,  0.00006,    0.00,    0.32,    0.00,   19.00,    1.39,    0.71
   113,   19921129205500.,    3.78,   80.80,   29.02,  0.01146,  0.00006,    0.00,    0.33,    0.00,   19.00,    1.48,    0.66
   114,   19921129214700.,    4.34,   73.92,   29.14,  0.00835,  0.00005,    0.00,    0.32,    0.11,    2.06,    1.63,    0.66
   115,   19921129223800.,    5.74,   78.63,   29.33,  0.00851,  0.00006,    0.00,    0.31,    0.28,    2.19,    1.62,    0.70
   116,   19921129233000.,    6.93,   83.41,   29.47,  0.00864,  0.00007,    0.00,    0.30,    0.47,    2.34,    1.62,    0.73
